Statement,Label,cleaned_text
Says the Annies List political group supports third-trimester abortions on demand.,False,say anni list polit group support thirdtrimest abort demand
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,True,declin coal start start natur ga took start begin presid georg w bush administr
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",True,hillari clinton agre john mccain vote give georg bush benefit doubt iran
Health care reform legislation is likely to mandate free sex change surgeries.,False,health care reform legisl like mandat free sex chang surgeri
The economic turnaround started at the end of my term.,True,econom turnaround start end term
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,True,chicago bear start quarterback last year total number tenur uw faculti fire last two decad
Jim Dunnam has not lived in the district he represents for years now.,False,jim dunnam live district repres year
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",True,im person stage work activ last year pass along russ feingold toughest ethic reform sinc waterg
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",True,howev took million oregon lotteri fund port newport eventu land new noaa marin oper centerpacif
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,True,say gop primari oppon glenn grothman joe leibham cast compromis vote cost million higher electr cost
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",True,first time histori share nation popular vote margin smaller latino vote margin
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",True,sinc nearli million american slip middl class poverti
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",False,mitt romney governor massachusett didnt slow rate growth govern actual cut
The economy bled $24 billion due to the government shutdown.,True,economi bled billion due govern shutdown
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,False,afford care act alreadi sens waiv otherwis suspend
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",True,last elect novemb percent american peopl chose vote percent young peopl percent lowincom worker chose vote
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,True,mccain oppos requir govern buy americanmad motorcycl said buyamerican provis quot disgrac
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",False,us rep ron kind dwi fellow democrat went spend spree credit card max
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",True,water rate manila philippin rais percent subsidiari world bank becam partial owner
"Almost 100,000 people left Puerto Rico last year.",True,almost peopl left puerto rico last year
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,False,women men make less adjust inflat john kitzhab first elect governor
The United States has the highest corporate tax rate in the free world.,True,unit state highest corpor tax rate free world
We just had the best year for the auto industry in America in history.,True,best year auto industri america histori
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",True,say scott walker favor cut famili children health care
Says Mitt Romney wants to get rid of Planned Parenthood.,False,say mitt romney want get rid plan parenthood
I dont know who (Jonathan Gruber) is.,False,dont know jonathan gruber
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,True,hate crime american muslim mosqu tripl pari san bernardino
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,True,rick perri never lost elect remain person texa governorship three time landslid elect
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",False,isi support tweet shoot began chattanooga tenn
Youth unemployment in minority communities is about 40 to 45 percent.,True,youth unemploy minor commun percent
Says Paul Ryan is still endorsing Trump.,True,say paul ryan still endors trump
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",False,look state right work constantli budget deficit good busi climat
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,False,obama administr go come next sever month your even go abl burn coal limitedli exist plant
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,True,cut busi tax today percent busi dont pay busi tax
Says Mark Pryor votes with Obama 93 percent of the time.,True,say mark pryor vote obama percent time
We have a federal government that thinks they have the authority to regulate our toilet seats.,True,feder govern think author regul toilet seat
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,True,austin citi basic doubl size everi year sinc found
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",True,nuclear test conduct nation time earth th nuclear test five perman member un secur council conduct percent total nuclear test
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",False,case catastroph event atlantaarea offic center diseas control prevent selfdestruct
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",True,presid georg w bush ad trillion debt presid obama weve ad trillion debt
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,False,say us suprem court justic suggest us case decid base south african law
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,True,say marco rubio skip defens vote includ one arm kurd fight isi
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",False,rep david cicillin respons feder loan guarante solyndra fail solar compani
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,False,say ohio budget item later sign law gov john kasich requir women seek abort undergo mandatori vagin probe
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,False,director homeland secur cannot use use term terrorist attack instead substitut manmad disast
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,True,africanamerican youth unemploy percent hispan youth unemploy percent
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",False,obamacar provid insur nonu resid even illeg
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,False,presid barack obama took exactli none deficit reduct commiss idea one
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,False,barack obama hillari clinton chang rule engag probabl cost capt humayun khan life
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,True,hillari clinton cosponsor legisl would jail flag burner
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,False,say paperback edit mitt romney book delet line massachusett individu mandat model countri
"Maggie Hassan raised tuition, making it the highest in America.",False,maggi hassan rais tuition make highest america
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,False,say terri mcauliff person invent scheme rent lincoln bedroom
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",True,creat new job cut unemploy rate almost half today new york state privat sector job ever histori
"We have towns in West Texas that are out of water, that are having to truck in water.",False,town west texa water truck water
"In Georgia, women earn 82 cents for every dollar earned by men.",True,georgia women earn cent everi dollar earn men
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,True,feder system verifi employe author work us inaccur anywher percent way excess percent time
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",False,go build wall ago long ago like couldnt get environment impact statement
Sen. Obama's campaign announced that he's choosing his cabinet.,False,sen obama campaign announc he choos cabinet
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",True,percent latino texa regist vote percent actual turn
Only 2 percent of public high schools in the country offer PE classes.,False,percent public high school countri offer pe class
"Said he's the only Republican candidate ""who's actually turned around a government economy.""",True,said he republican candid who actual turn around govern economi
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",True,militari recruit harvard elena kagan took posit suprem court rule unanim wrong
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",True,public school teacher texa nonteach public school
"Under Mayor Cicilline, [Providence] was a sanctuary city.",False,mayor cicillin provid sanctuari citi
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,False,transgend individu us chanc murder
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",True,bain capit help start earli childhood learn compani call bright horizon first ladi michel obama rightli prais
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",False,say man rush stage dayton ohio chatter isi isi social media post
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,False,us rep phil gingrey gave govern power electron spi american without warrant
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,False,alex sink funnel three quarter million dollar nobid contract bank america
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",True,take popul growth virginia net zero job creation sinc bob mcdonnel becam governor
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",False,obama home valu florida collaps construct job lost state high foreclosur rate
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",True,new arizona immigr law say polic offic stop anyon appear reason suspici undocu person
The only time in our history when the debt has been higher than this was the end of World War II.,True,time histori debt higher end world war ii
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,True,cost health care singlebiggest factor drive feder budget deficit
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",True,recess consum nativ pervers begun save save rate percent
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,False,whether us suprem court nomine forthcom confirm hear
Says one out of three U.S. homeless men is a veteran.,False,say one three us homeless men veteran
Says Charlie Crist supports cuts to the Medicare Advantage program.,False,say charli crist support cut medicar advantag program
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,True,think unaccept chines today larger wind power solar panel photovolta manufactur europ put togeth forget unit state
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,True,say scott brown cosponsor legisl let employ deni women coverag birth control
"At some point in their lives, 99% of women use birth control.",True,point live women use birth control
"In the past 20 years, Egypt has made great strides in political and democratic reform.",False,past year egypt made great stride polit democrat reform
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,False,amount attent paid week chri christi make coverag benghazi pale signific
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,True,say us rep steve southerland vote keep shutdown go
"In Rick Perrys Texas, we import nurses ... from other countries.",True,rick perri texa import nurs countri
There is a federal criminal law that says its a crime to transport dentures across state lines.,True,feder crimin law say crime transport dentur across state line
